,investment_sector
TDG,US Large Cap Core
UPS,US Large Cap Core
UNH,US Large Cap Core
VRSK,US Large Cap Core
VMW,US Large Cap Core
XLNX,US Large Cap Core
YUM,US Large Cap Core
YUMC,US Large Cap Core
ADT,US Mid Cap Value
ACM,US Mid Cap Value
AGCO,US Mid Cap Value
AGNC,US Mid Cap Value
ALK,US Mid Cap Value
LNT,US Mid Cap Value
AEE,US Mid Cap Value
AAL,US Mid Cap Value
AFG,US Mid Cap Value
ABC,US Mid Cap Value
NLY,US Mid Cap Value
APA,US Mid Cap Value
ARMK,US Mid Cap Value
ADM,US Mid Cap Value
ARCC,US Mid Cap Value
ARW,US Mid Cap Value
AIZ,US Mid Cap Value
ATO,US Mid Cap Value
AVB,US Mid Cap Value
AGR,US Mid Cap Value
BKR,US Mid Cap Value
BBY,US Mid Cap Value
BOKF,US Mid Cap Value
BWA,US Mid Cap Value
BXP,US Mid Cap Value
CPT,US Mid Cap Value
CPB,US Mid Cap Value
CAH,US Mid Cap Value
CARR,US Mid Cap Value
CDK,US Mid Cap Value
CE,US Mid Cap Value
CNP,US Mid Cap Value
CTL,US Mid Cap Value
CF,US Mid Cap Value
CWEN.A,US Mid Cap Value
CMS,US Mid Cap Value
CNA,US Mid Cap Value
CLR,US Mid Cap Value
GLW,US Mid Cap Value
CUZ,US Mid Cap Value
CREE,US Mid Cap Value
CCK,US Mid Cap Value
DVA,US Mid Cap Value
DAL,US Mid Cap Value
XRAY,US Mid Cap Value
DVN,US Mid Cap Value
DISCA,US Mid Cap Value
DISH,US Mid Cap Value
DTE,US Mid Cap Value
DXC,US Mid Cap Value
EWBC,US Mid Cap Value
EMN,US Mid Cap Value
EV,US Mid Cap Value
EIX,US Mid Cap Value
ET,US Mid Cap Value
ETR,US Mid Cap Value
EQH,US Mid Cap Value
ESS,US Mid Cap Value
EVRG,US Mid Cap Value
FNF,US Mid Cap Value
FITB,US Mid Cap Value
FAF,US Mid Cap Value
FSLR,US Mid Cap Value
FE,US Mid Cap Value
FLO,US Mid Cap Value
FBHS,US Mid Cap Value
BEN,US Mid Cap Value
GLPI,US Mid Cap Value
GPS,US Mid Cap Value
GPC,US Mid Cap Value
GL,US Mid Cap Value
HAL,US Mid Cap Value
HR,US Mid Cap Value
HTA,US Mid Cap Value
PEAK,US Mid Cap Value
HESM,US Mid Cap Value
HPE,US Mid Cap Value
HFC,US Mid Cap Value
HST,US Mid Cap Value
HWM,US Mid Cap Value
HBAN,US Mid Cap Value
HUN,US Mid Cap Value
IEP,US Mid Cap Value
IDA,US Mid Cap Value
INGR,US Mid Cap Value
IP,US Mid Cap Value
IRM,US Mid Cap Value
J,US Mid Cap Value
JEF,US Mid Cap Value
SJM,US Mid Cap Value
JLL,US Mid Cap Value
JNPR,US Mid Cap Value
K,US Mid Cap Value
KIM,US Mid Cap Value
LB,US Mid Cap Value
LH,US Mid Cap Value
LEA,US Mid Cap Value
LM,US Mid Cap Value
LNC,US Mid Cap Value
L,US Mid Cap Value
MTB,US Mid Cap Value
MMP,US Mid Cap Value
MAN,US Mid Cap Value
MRO,US Mid Cap Value
MDU,US Mid Cap Value
MPW,US Mid Cap Value
MHK,US Mid Cap Value
TAP,US Mid Cap Value
MPLX,US Mid Cap Value
NOV,US Mid Cap Value
NNN,US Mid Cap Value
NTAP,US Mid Cap Value
NYCB,US Mid Cap Value
NWL,US Mid Cap Value
NWSA,US Mid Cap Value
NI,US Mid Cap Value
NBL,US Mid Cap Value
NTRS,US Mid Cap Value
NLOK,US Mid Cap Value
NRG,US Mid Cap Value
OXY,US Mid Cap Value
OGE,US Mid Cap Value
ORI,US Mid Cap Value
OHI,US Mid Cap Value
OMC,US Mid Cap Value
ON,US Mid Cap Value
OGS,US Mid Cap Value
OKE,US Mid Cap Value
OSK,US Mid Cap Value
OC,US Mid Cap Value
PKG,US Mid Cap Value
PBCT,US Mid Cap Value
PCG,US Mid Cap Value
PPC,US Mid Cap Value
PNW,US Mid Cap Value
PAA,US Mid Cap Value
POST,US Mid Cap Value
PPL,US Mid Cap Value
PFG,US Mid Cap Value
PB,US Mid Cap Value
PHM,US Mid Cap Value
PWR,US Mid Cap Value
QRTEA,US Mid Cap Value
RL,US Mid Cap Value
RJF,US Mid Cap Value
RF,US Mid Cap Value
RGA,US Mid Cap Value
RS,US Mid Cap Value
RHI,US Mid Cap Value
SNDR,US Mid Cap Value
SAIC,US Mid Cap Value
SEE,US Mid Cap Value
SHLX,US Mid Cap Value
SPG,US Mid Cap Value
SNA,US Mid Cap Value
SON,US Mid Cap Value
LUV,US Mid Cap Value
STAG,US Mid Cap Value
SWK,US Mid Cap Value
STWD,US Mid Cap Value
STT,US Mid Cap Value
STLD,US Mid Cap Value
TRGP,US Mid Cap Value
TCF,US Mid Cap Value
TECD,US Mid Cap Value
TERP,US Mid Cap Value
TXT,US Mid Cap Value
TFSL,US Mid Cap Value
AES,US Mid Cap Value
HIG,US Mid Cap Value
IPG,US Mid Cap Value
MOS,US Mid Cap Value
WU,US Mid Cap Value
THO,US Mid Cap Value
TSN,US Mid Cap Value
UGI,US Mid Cap Value
URI,US Mid Cap Value
UTHR,US Mid Cap Value
VTR,US Mid Cap Value
VIAC,US Mid Cap Value
VIRT,US Mid Cap Value
VST,US Mid Cap Value
WPC,US Mid Cap Value
WELL,US Mid Cap Value
WDC,US Mid Cap Value
WES,US Mid Cap Value
WAB,US Mid Cap Value
WLK,US Mid Cap Value
WRK,US Mid Cap Value
WHR,US Mid Cap Value
WMB,US Mid Cap Value
WH,US Mid Cap Value
ZION,US Mid Cap Value
ABMD,US Mid Cap Growth
ACAD,US Mid Cap Growth
XLRN,US Mid Cap Growth
AKAM,US Mid Cap Growth
ALGN,US Mid Cap Growth
Y,US Mid Cap Growth
ALNY,US Mid Cap Growth
AYX,US Mid Cap Growth
AMED,US Mid Cap Growth
AME,US Mid Cap Growth
ANGI,US Mid Cap Growth
APPF,US Mid Cap Growth
ANET,US Mid Cap Growth
ARWR,US Mid Cap Growth
AZPN,US Mid Cap Growth
AVTR,US Mid Cap Growth
AAXN,US Mid Cap Growth
BYND,US Mid Cap Growth
BMRN,US Mid Cap Growth
BIO,US Mid Cap Growth
TECH,US Mid Cap Growth
BKI,US Mid Cap Growth
BL,US Mid Cap Growth
BPMC,US Mid Cap Growth
BAH,US Mid Cap Growth
SAM,US Mid Cap Growth
BFAM,US Mid Cap Growth
BRO,US Mid Cap Growth
