,investment_sector
CERS,US Small Cap Growth
CEVA,US Small Cap Growth
CSBR,US Small Cap Growth
GTLS,US Small Cap Growth
CKPT,US Small Cap Growth
CEMI,US Small Cap Growth
CCXI,US Small Cap Growth
CSSE,US Small Cap Growth
CMRX,US Small Cap Growth
CDXC,US Small Cap Growth
CHCO,US Small Cap Growth
CLAR,US Small Cap Growth
CLH,US Small Cap Growth
CLSK,US Small Cap Growth
CLFD,US Small Cap Growth
CLPT,US Small Cap Growth
CLSD,US Small Cap Growth
CLDR,US Small Cap Growth
CLVS,US Small Cap Growth
CODA,US Small Cap Growth
CCNC,US Small Cap Growth
CDXS,US Small Cap Growth
CODX,US Small Cap Growth
CCOI,US Small Cap Growth
COHU,US Small Cap Growth
CLCT,US Small Cap Growth
CMCO,US Small Cap Growth
FIX,US Small Cap Growth
CHCT,US Small Cap Growth
CRBP,US Small Cap Growth
CORT,US Small Cap Growth
CSOD,US Small Cap Growth
CRVL,US Small Cap Growth
ICBK,US Small Cap Growth
CVET,US Small Cap Growth
CYRX,US Small Cap Growth
CSWI,US Small Cap Growth
CTS,US Small Cap Growth
CUTR,US Small Cap Growth
CYBE,US Small Cap Growth
CBAY,US Small Cap Growth
CTMX,US Small Cap Growth
DJCO,US Small Cap Growth
DZSI,US Small Cap Growth
DTSS,US Small Cap Growth
DCPH,US Small Cap Growth
DNLI,US Small Cap Growth
DENN,US Small Cap Growth
DHX,US Small Cap Growth
DRNA,US Small Cap Growth
DGII,US Small Cap Growth
DMRC,US Small Cap Growth
APPS,US Small Cap Growth
DIN,US Small Cap Growth
DIOD,US Small Cap Growth
BOOM,US Small Cap Growth
PLOW,US Small Cap Growth
DSPG,US Small Cap Growth
DXPE,US Small Cap Growth
DYAI,US Small Cap Growth
DVAX,US Small Cap Growth
EGRX,US Small Cap Growth
DEA,US Small Cap Growth
EGAN,US Small Cap Growth
EHTH,US Small Cap Growth
EIGR,US Small Cap Growth
ELMD,US Small Cap Growth
ELSE,US Small Cap Growth
ELOX,US Small Cap Growth
ENTA,US Small Cap Growth
ERII,US Small Cap Growth
EPAC,US Small Cap Growth
ENOB,US Small Cap Growth
NPO,US Small Cap Growth
ENSG,US Small Cap Growth
ELA,US Small Cap Growth
ENV,US Small Cap Growth
EVSI,US Small Cap Growth
EPZM,US Small Cap Growth
ESE,US Small Cap Growth
ESQ,US Small Cap Growth
EVR,US Small Cap Growth
MRAM,US Small Cap Growth
EVI,US Small Cap Growth
EVOP,US Small Cap Growth
EOLS,US Small Cap Growth
AQUA,US Small Cap Growth
XELA,US Small Cap Growth
EXLS,US Small Cap Growth
EXPI,US Small Cap Growth
EYEG,US Small Cap Growth
FARO,US Small Cap Growth
FAT,US Small Cap Growth
FATE,US Small Cap Growth
FSS,US Small Cap Growth
FGEN,US Small Cap Growth
FEYE,US Small Cap Growth
FCAP,US Small Cap Growth
FSCT,US Small Cap Growth
FOR,US Small Cap Growth
FORM,US Small Cap Growth
FORR,US Small Cap Growth
FRTA,US Small Cap Growth
FBIO,US Small Cap Growth
FTAI,US Small Cap Growth
FWRD,US Small Cap Growth
FOXF,US Small Cap Growth
FC,US Small Cap Growth
FELE,US Small Cap Growth
FRPT,US Small Cap Growth
FTDR,US Small Cap Growth
FLGT,US Small Cap Growth
GTHX,US Small Cap Growth
GAIA,US Small Cap Growth
GNSS,US Small Cap Growth
GNUS,US Small Cap Growth
GNMK,US Small Cap Growth
THRM,US Small Cap Growth
GABC,US Small Cap Growth
ROCK,US Small Cap Growth
LAND,US Small Cap Growth
GKOS,US Small Cap Growth
GBT,US Small Cap Growth
GMRE,US Small Cap Growth
SELF,US Small Cap Growth
GWRS,US Small Cap Growth
GLUU,US Small Cap Growth
GDP,US Small Cap Growth
GSHD,US Small Cap Growth
GRC,US Small Cap Growth
GPX,US Small Cap Growth
GHM,US Small Cap Growth
GDOT,US Small Cap Growth
GRNQ,US Small Cap Growth
GRIF,US Small Cap Growth
GO,US Small Cap Growth
GROG,US Small Cap Growth
GRWG,US Small Cap Growth
HEES,US Small Cap Growth
HALO,US Small Cap Growth
HLNE,US Small Cap Growth
HONE,US Small Cap Growth
HROW,US Small Cap Growth
HSTM,US Small Cap Growth
HLIO,US Small Cap Growth
HMTV,US Small Cap Growth
HCCI,US Small Cap Growth
HRTX,US Small Cap Growth
HSKA,US Small Cap Growth
HGV,US Small Cap Growth
HMSY,US Small Cap Growth
HLI,US Small Cap Growth
HUSA,US Small Cap Growth
IIIV,US Small Cap Growth
IBIO,US Small Cap Growth
ICAD,US Small Cap Growth
ICUI,US Small Cap Growth
IDEX,US Small Cap Growth
IDRA,US Small Cap Growth
IEC,US Small Cap Growth
IMMR,US Small Cap Growth
PI,US Small Cap Growth
IRT,US Small Cap Growth
IGC,US Small Cap Growth
INFN,US Small Cap Growth
INFU,US Small Cap Growth
NGVT,US Small Cap Growth
IOSP,US Small Cap Growth
IIPR,US Small Cap Growth
INGN,US Small Cap Growth
INOV,US Small Cap Growth
INSG,US Small Cap Growth
INSP,US Small Cap Growth
IBP,US Small Cap Growth
ITGR,US Small Cap Growth
NTLA,US Small Cap Growth
IDN,US Small Cap Growth
INS,US Small Cap Growth
IPAR,US Small Cap Growth
ICPT,US Small Cap Growth
IIN,US Small Cap Growth
NVTA,US Small Cap Growth
IRMD,US Small Cap Growth
IRTC,US Small Cap Growth
IRDM,US Small Cap Growth
IRBT,US Small Cap Growth
IRWD,US Small Cap Growth
ISR,US Small Cap Growth
ITI,US Small Cap Growth
ITRI,US Small Cap Growth
ISEE,US Small Cap Growth
JJSF,US Small Cap Growth
JOUT,US Small Cap Growth
JNCE,US Small Cap Growth
KALA,US Small Cap Growth
KALV,US Small Cap Growth
KPTI,US Small Cap Growth
KNSL,US Small Cap Growth
KRA,US Small Cap Growth
KRYS,US Small Cap Growth
KURA,US Small Cap Growth
LKFN,US Small Cap Growth
LSCC,US Small Cap Growth
LCII,US Small Cap Growth
LGC,US Small Cap Growth
LMAT,US Small Cap Growth
TREE,US Small Cap Growth
LXRX,US Small Cap Growth
BATRA,US Small Cap Growth
LFVN,US Small Cap Growth
LGND,US Small Cap Growth
LPTH,US Small Cap Growth
LLNW,US Small Cap Growth
LINC,US Small Cap Growth
LIND,US Small Cap Growth
LIQT,US Small Cap Growth
LOB,US Small Cap Growth
LTHM,US Small Cap Growth
LPSN,US Small Cap Growth
RAMP,US Small Cap Growth
LIVX,US Small Cap Growth
LOOP,US Small Cap Growth
LORL,US Small Cap Growth
LUNA,US Small Cap Growth
MTSI,US Small Cap Growth
MDGL,US Small Cap Growth
MGLN,US Small Cap Growth
MX,US Small Cap Growth
MGNI,US Small Cap Growth
MJCO,US Small Cap Growth
MBUU,US Small Cap Growth
MNKD,US Small Cap Growth
MPX,US Small Cap Growth
MBII,US Small Cap Growth
MRTN,US Small Cap Growth
MHH,US Small Cap Growth
MTRN,US Small Cap Growth
MTNB,US Small Cap Growth
MXL,US Small Cap Growth
MGRC,US Small Cap Growth
MDLA,US Small Cap Growth
MNOV,US Small Cap Growth
MED,US Small Cap Growth
MEDP,US Small Cap Growth
MEIP,US Small Cap Growth
MMSI,US Small Cap Growth
MTOR,US Small Cap Growth
MRSN,US Small Cap Growth
MLAB,US Small Cap Growth
MSON,US Small Cap Growth
MITK,US Small Cap Growth
MODN,US Small Cap Growth
MTEM,US Small Cap Growth
MKGI,US Small Cap Growth
MNRO,US Small Cap Growth
MOTS,US Small Cap Growth
MOXC,US Small Cap Growth
MWA,US Small Cap Growth
MVBF,US Small Cap Growth
MYOS,US Small Cap Growth
NSTG,US Small Cap Growth
NAOV,US Small Cap Growth
NSSC,US Small Cap Growth
FIZZ,US Small Cap Growth
NRC,US Small Cap Growth
EYE,US Small Cap Growth
NEO,US Small Cap Growth
NLTX,US Small Cap Growth
NEOS,US Small Cap Growth
NEPH,US Small Cap Growth
NTRP,US Small Cap Growth
NBEV,US Small Cap Growth
NWGI,US Small Cap Growth
NXRT,US Small Cap Growth
LASR,US Small Cap Growth
NTIC,US Small Cap Growth
NOVN,US Small Cap Growth
NUVA,US Small Cap Growth
NUZE,US Small Cap Growth
OBCI,US Small Cap Growth
ODT,US Small Cap Growth
OMEX,US Small Cap Growth
OFLX,US Small Cap Growth
OMER,US Small Cap Growth
OMCL,US Small Cap Growth
OCX,US Small Cap Growth
OSPN,US Small Cap Growth
OTRK,US Small Cap Growth
OOMA,US Small Cap Growth
OPNT,US Small Cap Growth
OPRX,US Small Cap Growth
ORMP,US Small Cap Growth
ORGS,US Small Cap Growth
OESX,US Small Cap Growth
ORA,US Small Cap Growth
OFIX,US Small Cap Growth
KIDS,US Small Cap Growth
OSIS,US Small Cap Growth
PCRX,US Small Cap Growth
PAE,US Small Cap Growth
PTN,US Small Cap Growth
PZZA,US Small Cap Growth
PRTK,US Small Cap Growth
PCYG,US Small Cap Growth
PATK,US Small Cap Growth
PAYS,US Small Cap Growth
PCSB,US Small Cap Growth
PDFS,US Small Cap Growth
PRFT,US Small Cap Growth
PFGC,US Small Cap Growth
PETQ,US Small Cap Growth
PGTI,US Small Cap Growth
PIRS,US Small Cap Growth
PING,US Small Cap Growth
PXLW,US Small Cap Growth
PLXS,US Small Cap Growth
PLUG,US Small Cap Growth
PS,US Small Cap Growth
POLA,US Small Cap Growth
PW,US Small Cap Growth
PRAA,US Small Cap Growth
PRGX,US Small Cap Growth
PDEX,US Small Cap Growth
PFHD,US Small Cap Growth
PRO,US Small Cap Growth
PLX,US Small Cap Growth
PRLB,US Small Cap Growth
PTCT,US Small Cap Growth
PLSE,US Small Cap Growth
PRPL,US Small Cap Growth
QADA,US Small Cap Growth
QTS,US Small Cap Growth
KWR,US Small Cap Growth
QTRX,US Small Cap Growth
QNST,US Small Cap Growth
QUOT,US Small Cap Growth
RCM,US Small Cap Growth
RDUS,US Small Cap Growth
RDNT,US Small Cap Growth
METC,US Small Cap Growth
RMBS,US Small Cap Growth
RPD,US Small Cap Growth
RAVN,US Small Cap Growth
ROLL,US Small Cap Growth
RGNX,US Small Cap Growth
RM,US Small Cap Growth
REKR,US Small Cap Growth
MARK,US Small Cap Growth
KRMD,US Small Cap Growth
FRBK,US Small Cap Growth
REFR,US Small Cap Growth
RESN,US Small Cap Growth
RVLV,US Small Cap Growth
RFIL,US Small Cap Growth
RIOT,US Small Cap Growth
RLI,US Small Cap Growth
ROG,US Small Cap Growth
RST,US Small Cap Growth
RMBL,US Small Cap Growth
RUSHA,US Small Cap Growth
SAFE,US Small Cap Growth
SAGE,US Small Cap Growth
SAIA,US Small Cap Growth
SAIL,US Small Cap Growth
SAFM,US Small Cap Growth
SGMO,US Small Cap Growth
SCPL,US Small Cap Growth
SCPH,US Small Cap Growth
SBCF,US Small Cap Growth
SCWX,US Small Cap Growth
SELB,US Small Cap Growth
SMTC,US Small Cap Growth
SENS,US Small Cap Growth
SRTS,US Small Cap Growth
MCRB,US Small Cap Growth
SFBS,US Small Cap Growth
SHAK,US Small Cap Growth
SMED,US Small Cap Growth
SHSP,US Small Cap Growth
SHEN,US Small Cap Growth
PIXY,US Small Cap Growth
SSTI,US Small Cap Growth
SIBN,US Small Cap Growth
SIEB,US Small Cap Growth
SIEN,US Small Cap Growth
SSD,US Small Cap Growth
SLP,US Small Cap Growth
SKY,US Small Cap Growth
SNBR,US Small Cap Growth
SONO,US Small Cap Growth
SPKE,US Small Cap Growth
SPRO,US Small Cap Growth
SPWH,US Small Cap Growth
SPSC,US Small Cap Growth
STAA,US Small Cap Growth
STMP,US Small Cap Growth
SFIX,US Small Cap Growth
STRA,US Small Cap Growth
SUM,US Small Cap Growth
RUN,US Small Cap Growth
SUPN,US Small Cap Growth
SRDX,US Small Cap Growth
SSSS,US Small Cap Growth
SVMK,US Small Cap Growth
SYRS,US Small Cap Growth
TRHC,US Small Cap Growth
TCMD,US Small Cap Growth
TCO,US Small Cap Growth
GLG,US Small Cap Growth
TTGT,US Small Cap Growth
TNAV,US Small Cap Growth
TPX,US Small Cap Growth
TNC,US Small Cap Growth
TRNO,US Small Cap Growth
TXRH,US Small Cap Growth
BCO,US Small Cap Growth
HAIN,US Small Cap Growth
JYNT,US Small Cap Growth
LOVE,US Small Cap Growth
MEET,US Small Cap Growth
STKS,US Small Cap Growth
SHYF,US Small Cap Growth
TXMD,US Small Cap Growth
TVTY,US Small Cap Growth
BLD,US Small Cap Growth
TRCH,US Small Cap Growth
TPIC,US Small Cap Growth
TRNS,US Small Cap Growth
TBK,US Small Cap Growth
TRUP,US Small Cap Growth
MEDS,US Small Cap Growth
TTEC,US Small Cap Growth
TCX,US Small Cap Growth
HEAR,US Small Cap Growth
TYME,US Small Cap Growth
UFPI,US Small Cap Growth
UFPT,US Small Cap Growth
UNF,US Small Cap Growth
UPLD,US Small Cap Growth
UE,US Small Cap Growth
USCR,US Small Cap Growth
ECOL,US Small Cap Growth
USPH,US Small Cap Growth
VNDA,US Small Cap Growth
VRNS,US Small Cap Growth
VCYT,US Small Cap Growth
VERB,US Small Cap Growth
VCEL,US Small Cap Growth
VRME,US Small Cap Growth
VERI,US Small Cap Growth
VRRM,US Small Cap Growth
VERU,US Small Cap Growth
VSAT,US Small Cap Growth
VIAV,US Small Cap Growth
VICR,US Small Cap Growth
VRAY,US Small Cap Growth
VKTX,US Small Cap Growth
VPG,US Small Cap Growth
VC,US Small Cap Growth
VSLR,US Small Cap Growth
VCRA,US Small Cap Growth
VYGR,US Small Cap Growth
VTVT,US Small Cap Growth
VUZI,US Small Cap Growth
GRA,US Small Cap Growth
WTRH,US Small Cap Growth
WYY,US Small Cap Growth
WLDN,US Small Cap Growth
WSC,US Small Cap Growth
WINA,US Small Cap Growth
WGO,US Small Cap Growth
WKHS,US Small Cap Growth
WK,US Small Cap Growth
WWE,US Small Cap Growth
WPX,US Small Cap Growth
XNCR,US Small Cap Growth
XOMA,US Small Cap Growth
XPEL,US Small Cap Growth
YELP,US Small Cap Growth
YETI,US Small Cap Growth
YEXT,US Small Cap Growth
ZGNX,US Small Cap Growth
ZUMZ,US Small Cap Growth
ZYXI,US Small Cap Growth
PIH,US Small Cap Value
TURN,US Small Cap Value
FCCY,US Small Cap Value
AHC,US Small Cap Value
ABEO,US Small Cap Value
ANF,US Small Cap Value
ACHC,US Small Cap Value
ACCO,US Small Cap Value
ARAY,US Small Cap Value
ACER,US Small Cap Value
ACHV,US Small Cap Value
ACOR,US Small Cap Value
ATNM,US Small Cap Value
ADMP,US Small Cap Value
AE,US Small Cap Value
AEY,US Small Cap Value
ATGE,US Small Cap Value
ADTN,US Small Cap Value
ADRO,US Small Cap Value
ADES,US Small Cap Value
ASIX,US Small Cap Value
AGLE,US Small Cap Value
ACY,US Small Cap Value
ARPO,US Small Cap Value
AMG,US Small Cap Value
MITT,US Small Cap Value
AGRX,US Small Cap Value
AGFS,US Small Cap Value
AIKI,US Small Cap Value
ALRN,US Small Cap Value
AIRI,US Small Cap Value
AIRT,US Small Cap Value
AKER,US Small Cap Value
ALSK,US Small Cap Value
AA,US Small Cap Value
ALRS,US Small Cap Value
ALX,US Small Cap Value
ALJJ,US Small Cap Value
ALE,US Small Cap Value
ADS,US Small Cap Value
ARLP,US Small Cap Value
AB,US Small Cap Value
AHPI,US Small Cap Value
MDRX,US Small Cap Value
ATEC,US Small Cap Value
AMAG,US Small Cap Value
AMRK,US Small Cap Value
AMBC,US Small Cap Value
AMC,US Small Cap Value
AMCX,US Small Cap Value
DIT,US Small Cap Value
AMRH,US Small Cap Value
ATAX,US Small Cap Value
AXL,US Small Cap Value
AEO,US Small Cap Value
AEL,US Small Cap Value
AMNB,US Small Cap Value
ANAT,US Small Cap Value
ARA,US Small Cap Value
AMS,US Small Cap Value
AMSC,US Small Cap Value
AMSF,US Small Cap Value
ASRV,US Small Cap Value
ATLO,US Small Cap Value
AP,US Small Cap Value
AMPY,US Small Cap Value
AXR,US Small Cap Value
ASYS,US Small Cap Value
AMRS,US Small Cap Value
ANDE,US Small Cap Value
ANH,US Small Cap Value
APEX,US Small Cap Value
APOG,US Small Cap Value
ARI,US Small Cap Value
AMEH,US Small Cap Value
APLE,US Small Cap Value
APDN,US Small Cap Value
AGTC,US Small Cap Value
AAOI,US Small Cap Value
APVO,US Small Cap Value
ARC,US Small Cap Value
ABIO,US Small Cap Value
RKDA,US Small Cap Value
ARCH,US Small Cap Value
AROC,US Small Cap Value
ARKR,US Small Cap Value
AI,US Small Cap Value
ARMP,US Small Cap Value
ARR,US Small Cap Value
AFI,US Small Cap Value
AWI,US Small Cap Value
ARTNA,US Small Cap Value
APAM,US Small Cap Value
ARTW,US Small Cap Value
ASNA,US Small Cap Value
AHT,US Small Cap Value
ASRT,US Small Cap Value
ASB,US Small Cap Value
AC,US Small Cap Value
ASFI,US Small Cap Value
HOME,US Small Cap Value
ATRA,US Small Cap Value
AAME,US Small Cap Value
ATLC,US Small Cap Value
AAWW,US Small Cap Value
ATOS,US Small Cap Value
AN,US Small Cap Value
AUTO,US Small Cap Value
AWX,US Small Cap Value
AVNS,US Small Cap Value
AVYA,US Small Cap Value
AVNW,US Small Cap Value
AVID,US Small Cap Value
AVNT,US Small Cap Value
AVGR,US Small Cap Value
AVA,US Small Cap Value
AVT,US Small Cap Value
AWRE,US Small Cap Value
AYTU,US Small Cap Value
BGS,US Small Cap Value
BW,US Small Cap Value
BCSF,US Small Cap Value
BTN,US Small Cap Value
BOCH,US Small Cap Value
BOTJ,US Small Cap Value
BKU,US Small Cap Value
BWFG,US Small Cap Value
BHB,US Small Cap Value
BBDC,US Small Cap Value
BRN,US Small Cap Value
BSET,US Small Cap Value
BBX,US Small Cap Value
BCBP,US Small Cap Value
BECN,US Small Cap Value
BBGI,US Small Cap Value
BZH,US Small Cap Value
BBBY,US Small Cap Value
BELFB,US Small Cap Value
BDC,US Small Cap Value
BNTC,US Small Cap Value
BHLB,US Small Cap Value
BGCP,US Small Cap Value
BGFV,US Small Cap Value
BIG,US Small Cap Value
BH,US Small Cap Value
BCDA,US Small Cap Value
BKYI,US Small Cap Value
BIOL,US Small Cap Value
BPTH,US Small Cap Value
BJRI,US Small Cap Value
BKH,US Small Cap Value
BSM,US Small Cap Value
BKCC,US Small Cap Value
TCPC,US Small Cap Value
BXMT,US Small Cap Value
BDR,US Small Cap Value
APRN,US Small Cap Value
BRG,US Small Cap Value
BCEI,US Small Cap Value
BIMI,US Small Cap Value
BPFH,US Small Cap Value
BWL.A,US Small Cap Value
BPT,US Small Cap Value
BHR,US Small Cap Value
BDN,US Small Cap Value
BVTK,US Small Cap Value
BBI,US Small Cap Value
BLIN,US Small Cap Value
BGGSQ,US Small Cap Value
BSIG,US Small Cap Value
EAT,US Small Cap Value
BRX,US Small Cap Value
BYFC,US Small Cap Value
BWEN,US Small Cap Value
BKD,US Small Cap Value
BRT,US Small Cap Value
BSQR,US Small Cap Value
BKE,US Small Cap Value
BBW,US Small Cap Value
CFFI,US Small Cap Value
CBT,US Small Cap Value
CADE,US Small Cap Value
CLBS,US Small Cap Value
CAL,US Small Cap Value
CALB,US Small Cap Value
CRCQQ,US Small Cap Value
CPE,US Small Cap Value
CALM,US Small Cap Value
CLMT,US Small Cap Value
CAC,US Small Cap Value
CCAN,US Small Cap Value
CGIX,US Small Cap Value
CNNE,US Small Cap Value
CPHC,US Small Cap Value
CSU,US Small Cap Value
CSWC,US Small Cap Value
CFFN,US Small Cap Value
CMO,US Small Cap Value
CPST,US Small Cap Value
CRDE,US Small Cap Value
CTRE,US Small Cap Value
CSV,US Small Cap Value
CARS,US Small Cap Value
CASA,US Small Cap Value
SAVA,US Small Cap Value
CATB,US Small Cap Value
CBIO,US Small Cap Value
CTT,US Small Cap Value
CBAT,US Small Cap Value
CBL,US Small Cap Value
FUN,US Small Cap Value
CDR,US Small Cap Value
CLDX,US Small Cap Value
CLRB,US Small Cap Value
CETX,US Small Cap Value
CNGO,US Small Cap Value
CDEV,US Small Cap Value
CPF,US Small Cap Value
CVCY,US Small Cap Value
LEU,US Small Cap Value
CENX,US Small Cap Value
CHNG,US Small Cap Value
ECOM,US Small Cap Value
CTHR,US Small Cap Value
CLDT,US Small Cap Value
CAKE,US Small Cap Value
CHMG,US Small Cap Value
CHMI,US Small Cap Value
CHFS,US Small Cap Value
CVR,US Small Cap Value
CHS,US Small Cap Value
CIM,US Small Cap Value
CAAS,US Small Cap Value
CGA,US Small Cap Value
HGSH,US Small Cap Value
CJJD,US Small Cap Value
CPHI,US Small Cap Value
CREG,US Small Cap Value
CNET,US Small Cap Value
COFS,US Small Cap Value
CHUY,US Small Cap Value
CDTX,US Small Cap Value
CMCT,US Small Cap Value
XEC,US Small Cap Value
CBB,US Small Cap Value
CNK,US Small Cap Value
CINR,US Small Cap Value
CIT,US Small Cap Value
CTRN,US Small Cap Value
CTXR,US Small Cap Value
CZNC,US Small Cap Value
CZWI,US Small Cap Value
CIZN,US Small Cap Value
CIA,US Small Cap Value
CIO,US Small Cap Value
CIVB,US Small Cap Value
CLRO,US Small Cap Value
CLW,US Small Cap Value
CLF,US Small Cap Value
CLPR,US Small Cap Value
CNO,US Small Cap Value
CNXM,US Small Cap Value
CNX,US Small Cap Value
COCP,US Small Cap Value
CVLY,US Small Cap Value
CDE,US Small Cap Value
JVA,US Small Cap Value
COHN,US Small Cap Value
CFX,US Small Cap Value
CBAN,US Small Cap Value
CLNY,US Small Cap Value
CMC,US Small Cap Value
CVGI,US Small Cap Value
COMM,US Small Cap Value
JCS,US Small Cap Value
CYH,US Small Cap Value
CWBC,US Small Cap Value
CPSI,US Small Cap Value
CIX,US Small Cap Value
SCOR,US Small Cap Value
CHCI,US Small Cap Value
CRK,US Small Cap Value
CNCE,US Small Cap Value
CDOR,US Small Cap Value
CNDT,US Small Cap Value
CFMS,US Small Cap Value
CNFR,US Small Cap Value
CNOB,US Small Cap Value
CCR,US Small Cap Value
CEIX,US Small Cap Value
CNSL,US Small Cap Value
CPSS,US Small Cap Value
MCF,US Small Cap Value
CTRA,US Small Cap Value
CPS,US Small Cap Value
CMT,US Small Cap Value
CXW,US Small Cap Value
CORR,US Small Cap Value
CLDB,US Small Cap Value
CRVS,US Small Cap Value
COTY,US Small Cap Value
CVA,US Small Cap Value
COWN,US Small Cap Value
CVU,US Small Cap Value
CBRL,US Small Cap Value
CR,US Small Cap Value
CRD.A,US Small Cap Value
CEQP,US Small Cap Value
CRT,US Small Cap Value
CAPL,US Small Cap Value
CRWS,US Small Cap Value
CSPI,US Small Cap Value
CTIC,US Small Cap Value
CUB,US Small Cap Value
CULP,US Small Cap Value
CPIX,US Small Cap Value
CRIS,US Small Cap Value
CUBI,US Small Cap Value
CVV,US Small Cap Value
CVI,US Small Cap Value
UAN,US Small Cap Value
CYAN,US Small Cap Value
CYCC,US Small Cap Value
CELP,US Small Cap Value
DAKT,US Small Cap Value
DAN,US Small Cap Value
DRIO,US Small Cap Value
DAIO,US Small Cap Value
PLAY,US Small Cap Value
DWSN,US Small Cap Value
DCP,US Small Cap Value
DCTH,US Small Cap Value
DKL,US Small Cap Value
DK,US Small Cap Value
DBCP,US Small Cap Value
DLX,US Small Cap Value
DNR,US Small Cap Value
DBI,US Small Cap Value
DXLG,US Small Cap Value
DRH,US Small Cap Value
DFFN,US Small Cap Value
DRAD,US Small Cap Value
DGLY,US Small Cap Value
DDS,US Small Cap Value
DCOM,US Small Cap Value
DHC,US Small Cap Value
DSS,US Small Cap Value
DLPN,US Small Cap Value
UFS,US Small Cap Value
DGICA,US Small Cap Value
DFIN,US Small Cap Value
DVD,US Small Cap Value
DPW,US Small Cap Value
DRQ,US Small Cap Value
DS,US Small Cap Value
BKCT,US Small Cap Value
DUOT,US Small Cap Value
DYNT,US Small Cap Value
DX,US Small Cap Value
EGBN,US Small Cap Value
EXP,US Small Cap Value
KODK,US Small Cap Value
EBIX,US Small Cap Value
ECT,US Small Cap Value
SATS,US Small Cap Value
EPC,US Small Cap Value
EKSO,US Small Cap Value
ESI,US Small Cap Value
ELVT,US Small Cap Value
EARN,US Small Cap Value
ESBK,US Small Cap Value
EMAN,US Small Cap Value
EMCF,US Small Cap Value
EMKR,US Small Cap Value
EEX,US Small Cap Value
MSN,US Small Cap Value
ESRT,US Small Cap Value
ENBL,US Small Cap Value
ELGX,US Small Cap Value
EIGI,US Small Cap Value
ENR,US Small Cap Value
EFOI,US Small Cap Value
ENG,US Small Cap Value
ENLC,US Small Cap Value
EBF,US Small Cap Value
ENSV,US Small Cap Value
ETM,US Small Cap Value
EVC,US Small Cap Value
EVA,US Small Cap Value
ENZ,US Small Cap Value
EPR,US Small Cap Value
EQT,US Small Cap Value
EQC,US Small Cap Value
ESP,US Small Cap Value
ESSA,US Small Cap Value
EPRT,US Small Cap Value
ETH,US Small Cap Value
EVK,US Small Cap Value
EVRI,US Small Cap Value
EVFM,US Small Cap Value
EPM,US Small Cap Value
EVOL,US Small Cap Value
XAN,US Small Cap Value
EXPR,US Small Cap Value
STAY,US Small Cap Value
EXTN,US Small Cap Value
EZPW,US Small Cap Value
FNB,US Small Cap Value
FARM,US Small Cap Value
FBSS,US Small Cap Value
FFG,US Small Cap Value
AGM.A,US Small Cap Value
FNHC,US Small Cap Value
FOE,US Small Cap Value
FDUS,US Small Cap Value
FRGI,US Small Cap Value
FISI,US Small Cap Value
FBNC,US Small Cap Value
FNLC,US Small Cap Value
FRBA,US Small Cap Value
BUSE,US Small Cap Value
FBIZ,US Small Cap Value
FCF,US Small Cap Value
FCBC,US Small Cap Value
FFBC,US Small Cap Value
THFF,US Small Cap Value
FFNW,US Small Cap Value
FGBI,US Small Cap Value
FHB,US Small Cap Value
FHN,US Small Cap Value
INBK,US Small Cap Value
FIBK,US Small Cap Value
FXNC,US Small Cap Value
FLIC,US Small Cap Value
FUNC,US Small Cap Value
FUSB,US Small Cap Value
SVVC,US Small Cap Value
FIT,US Small Cap Value
FPRX,US Small Cap Value
FVE,US Small Cap Value
BDL,US Small Cap Value
FLXN,US Small Cap Value
FLXS,US Small Cap Value
FTK,US Small Cap Value
FLS,US Small Cap Value
FLR,US Small Cap Value
FFIC,US Small Cap Value
FOCS,US Small Cap Value
FET,US Small Cap Value
FOSL,US Small Cap Value
FBM,US Small Cap Value
FRAN,US Small Cap Value
FSB,US Small Cap Value
FRAF,US Small Cap Value
FSP,US Small Cap Value
RAIL,US Small Cap Value
FRD,US Small Cap Value
FSK,US Small Cap Value
FTEK,US Small Cap Value
FCEL,US Small Cap Value
FLL,US Small Cap Value
FULT,US Small Cap Value
FNKO,US Small Cap Value
FTFT,US Small Cap Value
FF,US Small Cap Value
GCAP,US Small Cap Value
GBL,US Small Cap Value
GME,US Small Cap Value
GCI,US Small Cap Value
GTX,US Small Cap Value
GARS,US Small Cap Value
JOB,US Small Cap Value
GMO,US Small Cap Value
GCO,US Small Cap Value
GEL,US Small Cap Value
GEN,US Small Cap Value
GNW,US Small Cap Value
GEVO,US Small Cap Value
GIII,US Small Cap Value
GLAD,US Small Cap Value
GOOD,US Small Cap Value
GAIN,US Small Cap Value
GLBZ,US Small Cap Value
ENT,US Small Cap Value
GLP,US Small Cap Value
GMS,US Small Cap Value
GNCIQ,US Small Cap Value
GSBD,US Small Cap Value
GBDC,US Small Cap Value
GTIM,US Small Cap Value
GT,US Small Cap Value
GHC,US Small Cap Value
GVA,US Small Cap Value
GFGY,US Small Cap Value
GPMT,US Small Cap Value
AJX,US Small Cap Value
GECC,US Small Cap Value
GLDD,US Small Cap Value
GWB,US Small Cap Value
GPRE,US Small Cap Value
GPP,US Small Cap Value
GBX,US Small Cap Value
GHL,US Small Cap Value
GEF,US Small Cap Value
GPI,US Small Cap Value
GRPN,US Small Cap Value
GVP,US Small Cap Value
GES,US Small Cap Value
GIFI,US Small Cap Value
GURE,US Small Cap Value
